"","date","country","credit","gdp","inf","stock","yield","global_factor","fin_factor","iv1","iv2","q","year","NFCI","EPU","USRECD","USUN"
"4306",2016-07-01,"Honduras",0.987098507290902,NA,277.876525878906,NA,NA,1.40714291798397,1.80836753835711,-0.929564096325562,1.48663323349079,"3","2016",-0.391437857142857,97.8675028483073,0,0.772294233532771
"4307",2016-10-01,"Honduras",1.03722906537521,NA,278.820281982422,NA,NA,-0.64944965561039,-0.489997454913421,-0.226525126316741,-0.423357946134365,"4","2016",-0.451888461538462,125.682568868001,0,0.795155914018218
"4308",2017-01-01,"Honduras",1.02396730847204,NA,282.626800537109,NA,NA,-2.45454278663805,1.25212531813049,0.208411717854199,-1.3278779911047,"1","2017",-0.525904615384615,129.325724283854,0,0.699494386103921
"4309",2017-04-01,"Honduras",1.02760115585343,NA,285.929992675781,NA,NA,-1.11723620228313,1.58352402673613,0.687138170399844,2.60824206770253,"2","2017",-0.569998461538462,108.166842142741,0,0.672673111669804
"4310",2017-07-01,"Honduras",1.04292251610222,NA,288.195037841797,NA,NA,1.04036321819665,0.787614231770233,-0.911804392987003,0.733995903731826,"3","2017",-0.622690769230769,105.560872395833,0,0.693741263079249
"4311",2017-10-01,"Honduras",1.07513411730448,NA,290.931976318359,NA,NA,-0.684072394714351,1.11991730908046,1.36147872448118,-3.16914528700183,"4","2017",-0.670416153846154,102.715799967448,0,0.709203028168074
"4312",2018-01-01,"Honduras",1.08614445727517,NA,295.115997314453,NA,NA,1.51173289129039,0.711535878437584,0.419631059276659,0.325334451968242,"1","2018",-0.60666,117.997767130534,0,0.748505098410224
"4313",2018-04-01,"Honduras",1.10952486394003,NA,297.695617675781,NA,NA,1.48743206133896,1.34451226687132,0.879569661810773,-0.739355645889113,"2","2018",-0.565928461538462,113.925926208496,0,0.781454160783295
"4314",2018-07-01,"Honduras",1.13813581085265,NA,300.652770996094,NA,NA,2.44706379059153,1.3162393516685,0.244118959820404,1.63000684086373,"3","2018",-0.617619230769231,111.627360026042,0,0.884713172566829
"4315",2018-10-01,"Honduras",1.18328875646338,NA,304.113250732422,NA,NA,6.50267309270478,0.78911686020216,-1.68002996995243,2.07075396294792,"4","2018",-0.558875384615385,136.007741292318,0,1.08635061353126
"4316",2019-01-01,"Honduras",1.19694174158633,NA,307.101837158203,NA,NA,1.57774447656418,1.06943997853374,-1.64681343625726,4.5065857020944,"1","2019",-0.581662307692308,149.393343607585,0,1.07699364095511
"4317",2019-04-01,"Honduras",1.19431600984536,NA,312.386932373047,NA,NA,-0.367669937847991,2.31354737515462,-0.421024726282031,-3.00096027543056,"2","2019",-0.637505384615385,123.797411600749,0,1.05478812346933
