,date,Korea,Australia,Iceland,United Kingdom,Denmark,Spain,Japan,Norway,Canada,Finland,Netherlands,United States,Mexico,Belgium,Germany,Luxembourg,Portugal,Italy,Austria,Ireland,Switzerland,Sweden,France,Greece
90,1995-Q2,-0.599827896,-0.353099988,-0.468086813,-0.432451957,-0.468086813,1.73948525,0.012772541,-0.468086813,-1.235603352,-0.468086813,-0.468086813,-1.299547683,3.796549776,-0.468086813,-0.943718898,-0.468086813,-0.468086813,1.391234345,-0.468086813,-0.468086813,-1.197850046,0.51594966,0.053748334,-0.468086813
91,1995-Q3,-0.669768011,-0.555633554,-0.499034599,-0.312172421,-0.499034599,1.892978768,-0.852591164,-0.499034599,-1.133210392,-0.499034599,-0.499034599,-1.476146944,1.929632761,-0.499034599,-1.247488046,-0.499034599,-0.499034599,1.631494391,-0.499034599,-0.499034599,-0.90878546,0.942115107,0.100966069,-0.499034599
92,1995-Q4,-0.841981596,-0.799804892,-0.742974717,-1.83382628,-0.742974717,0.046066546,-1.848974991,-0.742974717,-1.487527657,-0.742974717,-0.742974717,-1.309023464,2.231205386,-0.742974717,-2.69294237,-0.742974717,-0.742974717,1.050999583,-0.742974717,-0.742974717,-1.047008946,-0.229621534,-0.90061584,-0.742974717
93,1996-Q1,-0.540395436,-1.347350916,-0.706484156,-1.479770283,-0.706484156,0.808617839,-2.346488006,-0.706484156,-1.301498474,-0.706484156,-0.706484156,-1.334565837,2.208922378,-0.706484156,-3.057391836,-0.706484156,-0.706484156,1.254682506,-0.706484156,-0.706484156,-0.85385241,0.092439324,-1.718133351,-0.706484156
94,1996-Q2,-0.330215316,-1.188639707,-0.681273988,-1.312280721,-0.681273988,-0.312383444,-1.737782786,-0.681273988,-1.128622406,-0.681273988,-0.681273988,-1.078186334,2.126704429,-0.681273988,-2.455487129,-0.681273988,-0.681273988,0.990561661,-0.681273988,-0.681273988,-0.326136163,0.283912437,-2.350121594,-0.681273988
95,1996-Q3,0.054705711,-0.873718143,-0.68564922,-1.32249753,-0.68564922,-0.743509585,-0.788273661,-0.68564922,-0.940573642,-0.68564922,-0.68564922,-1.131279034,1.7119634,-0.68564922,-2.572535114,-0.68564922,-0.68564922,0.852606508,-0.68564922,-0.68564922,-0.134697822,-0.500690603,-2.227681025,-0.68564922
96,1996-Q4,-0.073068251,-1.236913229,-0.79466538,-1.876606717,-0.79466538,-3.03983809,-0.84374546,-0.79466538,-0.719638257,-0.79466538,-0.79466538,-0.895956372,1.056293979,-0.79466538,-2.928257275,-0.79466538,-0.79466538,0.548136096,-0.79466538,-0.79466538,-0.225462231,-0.436511942,-2.533061622,-0.79466538
97,1997-Q1,0.296855272,-0.719989143,-0.68585944,-1.727091543,-0.68585944,-2.371459077,-0.541583719,-0.68585944,-0.160712892,-0.68585944,-0.68585944,-0.806920364,0.678619232,-0.68585944,-3.315806028,-0.68585944,-0.68585944,1.320945731,-0.68585944,-0.68585944,0.08763222,0.285199293,-2.390462243,-0.68585944
98,1997-Q2,-0.13798434,-1.051484071,-0.785432368,-1.77441999,-0.785432368,-3.785380542,-1.126998238,-0.785432368,-0.072476821,-0.785432368,-0.785432368,-0.587288892,0.267928531,-0.785432368,-3.023207545,-0.785432368,-0.785432368,0.495538431,-0.785432368,-0.785432368,-0.0155505,-0.750596884,-2.543176771,-0.785432368
99,1997-Q3,0.174766201,-0.158137506,-0.688723295,-1.900706118,-0.688723295,-4.532008215,-0.57264201,-0.688723295,0.314722276,-0.688723295,-0.688723295,-0.233014525,0.560642632,-0.688723295,-2.843529126,-0.688723295,-0.688723295,0.010043553,-0.688723295,-0.688723295,0.633310336,-0.910515446,-2.45650785,-0.688723295
